,year,urbanImp,ruralImp,ratio
0,1990,33,7,0.825
1,1991,10,2,0.8333333333333334
2,1992,31,10,0.7560975609756098
3,1993,21,8,0.7241379310344828
4,1994,28,24,0.5384615384615384
5,1995,8,4,0.6666666666666666
6,1996,6,9,0.4
7,1997,5,5,0.5
8,1998,36,9,0.8
9,1999,58,8,0.8787878787878788
10,2000,4,0,1.0
11,2001,9,22,0.2903225806451613
12,2002,5,5,0.5
13,2003,20,41,0.32786885245901637
14,2004,21,34,0.38181818181818183
15,2005,101,106,0.48792270531400966
16,2006,5,15,0.25
17,2007,6,25,0.1935483870967742
18,2008,10,29,0.2564102564102564
19,2009,7,25,0.21875
20,2010,19,1,0.95
21,2011,44,9,0.8301886792452831
22,2012,188,52,0.7833333333333333
23,2013,66,7,0.9041095890410958
24,2014,48,13,0.7868852459016393
25,2015,24,14,0.631578947368421
26,2016,20,9,0.6896551724137931
27,2017,50,16,0.7575757575757576
28,2018,9,3,0.75
29,2019,14,17,0.45161290322580644
