,year,urbanImp,ruralImp,ratio
0,1990,11916,67600,0.14985663262739574
1,1991,19047,99794,0.16027296976632643
2,1992,15941,68180,0.1895008380784822
3,1993,17993,66930,0.2118742861180128
4,1994,17185,74283,0.18787991428696374
5,1995,20742,80598,0.20467732386027235
6,1996,14679,44763,0.24694660341172908
7,1997,15829,61587,0.20446677689366538
8,1998,19891,80502,0.19813134381879216
9,1999,19939,57858,0.25629522989318354
10,2000,17541,39082,0.309785776098052
11,2001,22136,38807,0.3632246525441806
12,2002,18705,37864,0.33065813431384683
13,2003,21737,50375,0.30143388063013093
14,2004,21556,61777,0.25867303469213876
15,2005,25203,55525,0.31219651174313745
16,2006,31735,81505,0.2802454962910632
17,2007,41316,79608,0.34166914756375905
18,2008,38622,79283,0.32756880539417327
19,2009,45211,91758,0.33008198935525557
20,2010,29388,54605,0.3498863000488136
21,2011,35605,94782,0.27307170193347496
22,2012,43963,164531,0.210859784933859
23,2013,13413,67955,0.16484367318847704
24,2014,20773,80109,0.2059138399318015
25,2015,19255,83756,0.18692178505208182
26,2016,15906,78051,0.16929020722245283
27,2017,12060,55427,0.1787010831715738
28,2018,9888,44449,0.1819754495095423
29,2019,18959,128697,0.12839979411605354
