,year,urbanImp,ruralImp,ratio
0,1990,73461,204265,0.2645089044597913
1,1991,167897,530491,0.24040647892002726
2,1992,249917,737494,0.2531033176660985
3,1993,121948,231734,0.34479560735349835
4,1994,115069,278592,0.2923048003231207
5,1995,145425,390514,0.2713461793226468
6,1996,109949,307878,0.26314479437662
7,1997,98718,275968,0.2634686110503195
8,1998,73553,173264,0.2980062151310485
9,1999,89209,212153,0.2960194052335729
10,2000,78844,157777,0.333207957028328
11,2001,78364,147661,0.3467050105076872
12,2002,102614,165793,0.3823074659006658
13,2003,112823,172925,0.3948339095986674
14,2004,106077,171033,0.38279744505791924
15,2005,103577,171787,0.37614575616275187
16,2006,152910,272366,0.3595547362183617
17,2007,115815,236576,0.32865481808559244
18,2008,125172,271894,0.3152423022872772
19,2009,157675,334941,0.32007689559413416
20,2010,152910,276724,0.3559075864573102
21,2011,143852,299758,0.32427582786681997
22,2012,223341,533248,0.2951946168923947
23,2013,82168,244459,0.25156524108539713
24,2014,129623,395791,0.24670640675733801
25,2015,89427,265842,0.2517163051096493
26,2016,85275,257486,0.24878851444592587
27,2017,56680,171276,0.2486444752496096
28,2018,35086,135185,0.2060597518074129
29,2019,81284,321521,0.20179491317138565
