,year,urbanImp,ruralImp,ratio
0,1990,94,31,0.752
1,1991,102,33,0.7555555555555555
2,1992,76,40,0.6551724137931034
3,1993,15,3,0.8333333333333334
4,1994,30,8,0.7894736842105263
5,1995,10,5,0.6666666666666666
6,1996,92,52,0.6388888888888888
7,1997,76,37,0.672566371681416
8,1998,87,26,0.7699115044247787
9,1999,17,5,0.7727272727272727
10,2000,15,6,0.7142857142857143
11,2001,29,9,0.7631578947368421
12,2002,42,39,0.5185185185185185
13,2003,75,57,0.5681818181818182
14,2004,73,43,0.6293103448275862
15,2005,208,102,0.6709677419354839
16,2006,117,134,0.46613545816733065
17,2007,135,81,0.625
18,2008,59,83,0.4154929577464789
19,2009,56,41,0.5773195876288659
20,2010,9,6,0.6
21,2011,92,32,0.7419354838709677
22,2012,123,115,0.5168067226890757
23,2013,17,25,0.40476190476190477
24,2014,10,6,0.625
25,2015,42,15,0.7368421052631579
26,2016,50,29,0.6329113924050633
27,2017,52,45,0.5360824742268041
28,2018,48,28,0.631578947368421
29,2019,41,43,0.4880952380952381
