name,type,habitat,ele_upper,ele_lower,category
Scutiger nyingchiensis,AMPHIBIAN,For_Gra_Wet,,,LC
Nanorana parkeri,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Buteo rufinus,BIRD,Cro_For_Gra_Shr,3900.0,0.0,LC
Circus aeruginosus,BIRD,Cro_Gra_Wat_Wet,3000.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus macrourus,BIRD,Cro_For_Gra_Shr_Wet,4000.0,0.0,NT
Clanga clanga,BIRD,Cro_For_Gra_Wat_Wet,1400.0,0.0,VU
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Falco columbarius,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Vanellus leucurus,BIRD,Wat_Wet,,,LC
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Alaudala rufescens,BIRD,Gra_Shr_Wat,3000.0,,LC
Alectoris chukar,BIRD,Gra_Shr,4500.0,,LC
Anas platyrhynchos,BIRD,Wat_Wet,1000.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Athene noctua,BIRD,Cro_Gra_Imp_Shr,2600.0,,LC
Aythya nyroca,BIRD,Wat_Wet,880.0,0.0,NT
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
Eremophila alpestris,BIRD,Cro_Gra_Shr_Wat,5400.0,,LC
Gallinula chloropus,BIRD,Wat_Wet,4000.0,,LC
Hirundo rustica,BIRD,Cro_Gra_Imp_Shr_Wat_Wet,3000.0,,LC
Lanius excubitor,BIRD,Bar_For_Gra_Shr_Wet,2800.0,,LC
Motacilla alba,BIRD,Bar_Gra_Wat_Wet,5000.0,,LC
Motacilla citreola,BIRD,Cro_Wat_Wet,4600.0,,LC
Motacilla flava,BIRD,Cro_Gra_Shr_Wat_Wet,4500.0,,LC
Muscicapa striata,BIRD,Cro_For_Gra_Imp_Shr,2200.0,,LC
Passer domesticus,BIRD,Cro_For_Imp_Shr_Wat_Wet,4500.0,,LC
Phoenicurus ochruros,BIRD,Gra_Imp_Shr_Wat,3700.0,,LC
Phylloscopus sindianus,BIRD,For_Shr_Wet,1200.0,1000.0,LC
Rallus aquaticus,BIRD,Gra_Wat_Wet,2000.0,,LC
Spatula clypeata,BIRD,Gra_Wat_Wet,,,LC
Sterna hirundo,BIRD,Wat_Wet,4000.0,0.0,LC
Streptopelia decaocto,BIRD,Cro_Imp_Shr,,,LC
Curruca curruca,BIRD,Cro_For_Gra_Shr_Wet,2350.0,,LC
Tichodroma muraria,BIRD,,,,LC
Zapornia pusilla,BIRD,Gra_Wat_Wet,2450.0,,LC
Columba eversmanni,BIRD,Bar_Cro_Shr_Wet,,,VU
Columba leuconota,BIRD,Cro,5000.0,3000.0,LC
Columba rupestris,BIRD,Imp_Shr,5500.0,2000.0,LC
Anthus hodgsoni,BIRD,For_Gra_Shr,4000.0,,LC
Ibidorhyncha struthersii,BIRD,Wet,4400.0,100.0,LC
Anthus godlewskii,BIRD,Cro_Gra_Shr_Wet,3000.0,,LC
Anthus roseatus,BIRD,Gra_Wet,5000.0,2700.0,LC
Pyrrhocorax graculus,BIRD,Gra_Imp,5000.0,1260.0,LC
Pyrrhocorax pyrrhocorax,BIRD,Gra_Shr_Wat,,,LC
Larus brunnicephalus,BIRD,Wat_Wet,,,LC
Limosa limosa,BIRD,Cro_Gra_Wat_Wet,,,NT
Calliope calliope,BIRD,Cro_For_Imp_Shr_Wat_Wet,,,LC
Pyrgilauda blanfordi,BIRD,Bar_Gra,5000.0,4200.0,LC
Spinus thibetanus,BIRD,For_Shr,4000.0,2800.0,LC
Marmaronetta angustirostris,BIRD,Wat_Wet,,,VU
Numenius arquata,BIRD,Cro_For_Gra_Wat_Wet,,,NT
Oxyura leucocephala,BIRD,Wat_Wet,,,EN
Streptopelia orientalis,BIRD,Cro_For_Imp_Shr_Wat,4000.0,,LC
Tetrax tetrax,BIRD,Cro_Gra,,,NT
Tadorna ferruginea,BIRD,Cro_Gra_Wat_Wet,,,LC
Tetraogallus tibetanus,BIRD,Gra,5800.0,3700.0,LC
Tringa totanus,BIRD,Wat_Wet,,,LC
Lanius isabellinus,BIRD,Cro_Gra_Imp_Shr_Wet,3000.0,,LC
Lanius phoenicuroides,BIRD,Cro_Gra_Imp_Shr_Wet,3000.0,,LC
Phylloscopus humei,BIRD,For_Shr,3980.0,2000.0,LC
Oenanthe deserti,BIRD,Bar_Cro_Shr,2700.0,,LC
Panurus biarmicus,BIRD,Wet,3050.0,,LC
Phylloscopus trochiloides,BIRD,Cro_For_Shr_Wet,4500.0,,LC
Riparia diluta,BIRD,Cro_Gra_Wat_Wet,4500.0,,LC
Turdus atrogularis,BIRD,Cro_For_Gra_Shr_Wet,4200.0,,LC
Carpodacus rubicilla,BIRD,Gra_Shr,5000.0,2500.0,LC
Ficedula albicilla,BIRD,For,,,LC
Mareca strepera,BIRD,Wet,,,LC
Pica pica,BIRD,Cro_For_Imp_Shr,,,LC
Calandrella acutirostris,BIRD,Bar,5000.0,1000.0,LC
Carpodacus puniceus,BIRD,Gra,5700.0,3900.0,LC
Corvus corax,BIRD,For_Gra_Shr,5000.0,,LC
Monticola solitarius,BIRD,Gra_Shr,3600.0,,LC
Mycerobas carnipes,BIRD,For_Shr,4600.0,2800.0,LC
Phylloscopus griseolus,BIRD,For_Shr,4575.0,2590.0,LC
Prunella collaris,BIRD,Cro_Shr,5000.0,1800.0,LC
Charadrius mongolus,BIRD,Cro_For_Gra_Wat_Wet,,,LC
Apus apus,BIRD,Bar_Cro_For_Gra_Imp_Shr_Wet,3300.0,,LC
Asio flammeus,BIRD,Cro_Gra_Wet,4300.0,,LC
Bubo bubo,BIRD,Cro_For_Shr,4500.0,,LC
Acrocephalus agricola,BIRD,Cro_Wat_Wet,,,LC
Acrocephalus concinens,BIRD,Gra_Wet,,,LC
Locustella major,BIRD,Cro_Gra_Shr,3600.0,2400.0,NT
Linaria flavirostris,BIRD,Gra_Shr,,,LC
Carpodacus erythrinus,BIRD,Cro_For_Shr_Wet,2700.0,2000.0,LC
Montifringilla nivalis,BIRD,,,,LC
Passer montanus,BIRD,Cro_For_Imp_Shr,,,LC
Carpodacus sillemi,BIRD,,5125.0,4950.0,DD
Gypaetus barbatus,BIRD,Gra_Imp_Shr,7500.0,1000.0,NT
Gyps himalayensis,BIRD,Gra_Shr,5500.0,1200.0,NT
Pseudopodoces humilis,BIRD,Gra_Shr,5500.0,3100.0,LC
Ptyonoprogne rupestris,BIRD,Cro_Gra_Imp_Shr_Wet,4500.0,,LC
Anthus campestris,BIRD,Gra_Shr_Wat,3600.0,,LC
Calandrella brachydactyla,BIRD,Cro_Gra_Shr,,,LC
Anthropoides virgo,BIRD,Bar_Cro_Gra_Shr_Wat_Wet,3000.0,,LC
Buteo hemilasius,BIRD,Bar_Cro_Gra,5000.0,,LC
Anthus spinoletta,BIRD,Gra_Wat_Wet,3200.0,615.0,LC
Calliope pectoralis,BIRD,Gra_Shr,4800.0,2600.0,LC
Turdus ruficollis,BIRD,For_Gra_Shr,3900.0,,LC
Leucosticte brandti,BIRD,Gra_Wet,6000.0,3950.0,LC
Leucosticte nemoricola,BIRD,Gra,4300.0,1800.0,LC
Prunella fulvescens,BIRD,For_Shr,5100.0,2400.0,LC
Bucanetes mongolicus,BIRD,Bar_Gra,4200.0,,LC
