name,type,habitat,ele_upper,ele_lower,category
Circus aeruginosus,BIRD,Cro_Gra_Wat_Wet,3000.0,0.0,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Falco cherrug,BIRD,Cro_For_Gra_Shr_Wat_Wet,4700.0,0.0,EN
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Aquila nipalensis,BIRD,Bar_For_Gra,3000.0,0.0,EN
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Acanthis flammea,BIRD,For_Shr,,,LC
Alaudala rufescens,BIRD,Gra_Shr_Wat,3000.0,,LC
Alectoris chukar,BIRD,Gra_Shr,4500.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Athene noctua,BIRD,Cro_Gra_Imp_Shr,2600.0,,LC
Aythya nyroca,BIRD,Wat_Wet,880.0,0.0,NT
Charadrius alexandrinus,BIRD,Bar_Gra_Wat_Wet,3000.0,,LC
Charadrius leschenaultii,BIRD,Bar_Gra_Wat_Wet,3000.0,,LC
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
Emberiza schoeniclus,BIRD,Cro_Wet,,,LC
Eremophila alpestris,BIRD,Cro_Gra_Shr_Wat,5400.0,,LC
Gallinula chloropus,BIRD,Wat_Wet,4000.0,,LC
Himantopus himantopus,BIRD,Gra_Wat_Wet,4200.0,,LC
Hirundo rustica,BIRD,Cro_Gra_Imp_Shr_Wat_Wet,3000.0,,LC
Lanius excubitor,BIRD,Bar_For_Gra_Shr_Wet,2800.0,,LC
Larus canus,BIRD,Gra_Wat_Wet,1400.0,,LC
Motacilla alba,BIRD,Bar_Gra_Wat_Wet,5000.0,,LC
Motacilla citreola,BIRD,Cro_Wat_Wet,4600.0,,LC
Muscicapa striata,BIRD,Cro_For_Gra_Imp_Shr,2200.0,,LC
Phoenicurus ochruros,BIRD,Gra_Imp_Shr_Wat,3700.0,,LC
